discovery,ad_sample,locus_name,gene_name
GWAS,Female,ALPL,HP1BP3
GWAS,Female,ALPL,EIF4G3
GWAS,Female,ALPL,ALPL
GWAS,Male,KRCTAP2/GBA1,GBA1
GWAS,Male,KRCTAP2/GBA1,SLC50A1
GWAS,Female,NCK2,NCK2
GWAS,Male,WDFY1-AP1S3,AP1S3
GWAS,Male,WDFY1-AP1S3,SCG2
GWAS,Female,INPP5D,INPP5D
GWAS,Female,INPP5D,ENSG00000289129
GWAS,Female,INPP5D,ATG16L1
GWAS,Female,INPP5D,NGEF
GWAS,Female,CLNK/HS3ST1,WDR1
GWAS,Female,CLNK/HS3ST1,HS3ST1
GWAS,Female,HLA,HLA-DRB1
GWAS,Female,TREM2,TREM2
GWAS,Female,TREM2,TREML3P
GWAS,Female,TREM2,TREM1
GWAS,Female,TREM2,TREML4
GWAS,Female,SEC61G,EGFR
GWAS,Female,SEC61G,SEPTIN14
GWAS,Female,CLU/PTKB2,CLU
GWAS,Female,CLU/PTKB2,PTK2B
GWAS,Female,SHC3,SEMA4D
GWAS,Female,TSPAN14,TSPAN14
GWAS,Female,TSPAN14,MAT1A
GWAS,Female,TSPAN14,ANXA11
GWAS,Female,SORL1,SORL1
GWAS,Female,SLC24A4/RIN3,RIN3
GWAS,Female,SLC24A4/RIN3,SLC24A4
GWAS,Female,SLC24A4/RIN3,COX8C
GWAS,Female,PMFBP1,ZNF19
GWAS,Female,PMFBP1,HP
GWAS,Female,PMFBP1,HPR
GWAS,Female,PMFBP1,IST1
GWAS,Female,PMFBP1,ENSG00000247324
GWAS,Male,NSF/MAPT/KANSL1,ENSG00000285668
GWAS,Male,NSF/MAPT/KANSL1,ENSG00000262879
GWAS,Male,NSF/MAPT/KANSL1,KANSL1-AS1
GWAS,Male,NSF/MAPT/KANSL1,HEXIM2
GWAS,Male,NSF/MAPT/KANSL1,EFCAB13
GWAS,Male,NSF/MAPT/KANSL1,MAPT
GWAS,Male,ACE,ACE
GWAS,Male,ACE,DCAF7
GWAS,Male,ACE,ENSG00000265971
GWAS,Male,ACE,MAP3K3
GWAS,Female,ABCA7,ENSG00000280486
GWAS,Female,ABCA7,RPS15
GWAS,Female,ABCA7,ABCA7
GWAS,Female,RBCK1,RBCK1
GWAS,Male,APP/ADAMTS1,ENSG00000232692
PWAS_CSF,Male,GBA1,GBA1
PWAS_CSF,Male,GBA1,SLC50A1
PWAS_CSF,Male,GBA1,YY1AP1
PWAS_CSF,Female,CD84(ADAMTS4),FCGR3B
PWAS_CSF,Female,CD84(ADAMTS4),NDUFS2
PWAS_CSF,Female,CD84(ADAMTS4),FCER1G
PWAS_CSF,Female,CD84(ADAMTS4),B4GALT3
PWAS_CSF,Female,CD84(ADAMTS4),KLHDC9
PWAS_CSF,Female,CD84(ADAMTS4),CD84
PWAS_CSF,Female,CD84(ADAMTS4),MPZ
PWAS_CSF,Female,CD84(ADAMTS4),PPOX
PWAS_Brain,Female,ADAM17,ITGB1BP1
PWAS_Brain,Female,ADAM17,ENSG00000271855
PWAS_Brain,Female,ADAM17,AC073195.1
PWAS_Brain,Female,ADAM17,ADAM17
PWAS_Brain,Female,ADAM17,CPSF3
PWAS_Brain,Female,MFSD6,NEMP2
PWAS_Brain,Female,MFSD6,ASNSD1
PWAS_Brain,Female,MFSD6,NAB1
PWAS_Brain,Female,MFSD6,OSGEPL1
PWAS_Brain,Female,INPP5D,INPP5D
PWAS_Brain,Female,INPP5D,ENSG00000289129
PWAS_Brain,Female,INPP5D,ATG16L1
PWAS_Brain,Female,INPP5D,NGEF
PWAS_Brain,Male,RFTN1,RFTN1
PWAS_Brain,Female,USP4/USP19,USP4
PWAS_Brain,Female,USP4/USP19,RBM5-AS1
PWAS_CSF,Female,MANF,MANF
PWAS_Brain,Female,NCK1,STAG1
PWAS_Brain,Female,METTL14,CICP16
PWAS_Brain,Female,METTL14,SNHG8
PWAS_Brain,Female,RAPGEF2,FNIP2
PWAS_Brain,Female,RAPGEF2,RAPGEF2
PWAS_Brain,Female,ACSL6,Y_RNA
PWAS_Brain,Female,ACSL6,SLC22A5
PWAS_Brain,Male,CARMIL1,CARMIL1
PWAS_Brain,Female,CDK14,CDK14
PWAS_Brain,Female,RASA4B,SH2B2
PWAS_Brain,Female,RASA4B,RELN
PWAS_Brain,Female,RASA4B,CUX1
PWAS_Brain,Female,TSPAN14/ANXA11,TSPAN14
PWAS_Brain,Female,TSPAN14/ANXA11,SFTPD
PWAS_Brain,Female,TSPAN14/ANXA11,MAT1A
PWAS_Brain,Female,TSPAN14/ANXA11,ANXA11
PWAS_Brain,Female,SFXN4,SFXN4
PWAS_Brain,Female,PSEN1,PAPLN
PWAS_Brain,Female,PSEN1,HEATR4
PWAS_Brain,Female,PSEN1,PSEN1
PWAS_Brain,Female,PSEN1,PAPLN-AS1
PWAS_Brain,Female,PSEN1,RP3-414A15.11
PWAS_Brain,Female,PSEN1,RP3-414A15.2
PWAS_Brain,Female,PSEN1,ACOT1
PWAS_Brain,Female,PSEN1,AC005225.3
PWAS_Brain,Female,PSEN1,ACOT6
PWAS_Brain,Female,PSEN1,ENSG00000258695
PWAS_Brain,Female,PSEN1,RBM25
PWAS_Brain,Female,PSEN1,RP1-240K6.3
PWAS_Brain,Female,ETFA/SCAPER/RCN2,SCAPER
PWAS_Brain,Female,ETFA/SCAPER/RCN2,RCN2
PWAS_Brain,Female,ETFA/SCAPER/RCN2,ETFA
PWAS_Brain,Female,ETFA/SCAPER/RCN2,ISL2
PWAS_Brain,Female,ETFA/SCAPER/RCN2,UBE2Q2
PWAS_Brain,Female,ETFA/SCAPER/RCN2,ENSG00000259514
PWAS_Brain,Female,ETFA/SCAPER/RCN2,COMMD4
PWAS_Brain,Female,SLC7A5,MAP1LC3B
PWAS_Brain,Female,SLC7A5,SLC7A5
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),ENO3
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),C17orf107
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),CHRNE
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),C1QBP
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),INCA1
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),RNF167
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),ZNF232
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),USP6
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),KIF1C-AS1
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),CAMTA2
PWAS_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),ENSG00000286190
PWAS_Brain,Female,TOM1L2(MYO15A),LINC02076
PWAS_Brain,Female,TOM1L2(MYO15A),TOM1L2
PWAS_Brain,Female,TOM1L2(MYO15A),SHMT1
PWAS_Brain,Female,TOM1L2(MYO15A),EVPLL
PWAS_Brain,Female,TOM1L2(MYO15A),KRT17P2
PWAS_Brain,Female,TOM1L2(MYO15A),TOP3A
PWAS_Brain,Female,TOM1L2(MYO15A),ENSG00000197815
PWAS_Brain,Female,TOM1L2(MYO15A),SMCR8
PWAS_Brain,Female,TOM1L2(MYO15A),FLII
PWAS_Brain,Female,TOM1L2(MYO15A),LLGL1
PWAS_Brain,Male,PHB1(ABI3),PHB1
PWAS_Brain,Male,PHB1(ABI3),HOXB7
PWAS_Brain,Male,PHB1(ABI3),PHOSPHO1
PWAS_Brain,Female,SLC44A2/CARM1,SLC44A2
PWAS_Brain,Female,SLC44A2/CARM1,CARM1
PWAS_Brain,Female,SLC44A2/CARM1,SMARCA4
PWAS_Brain,Female,SLC44A2/CARM1,YIPF2
PWAS_Brain,Female,SLC44A2/CARM1,DNM2
PWAS_Brain,Female,ARSA,ARSA
PWAS_CSF,Female,HP,HP
PWAS_CSF,Female,HP,HPR
PWAS_CSF,Female,HP,ZNF19
PWAS_CSF,Female,HP,IST1
PWAS_CSF,Female,HP,ENSG00000247324
DAL_Brain,Female,ENO3(SCIMP/RABEP1/CHRNE),RABEP1
DAL_Brain,Female,CLU/PTKB2,CLU
DAL_Brain,Female,SLC44A2/CARM1,SLC44A2
DAL_Brain,Female,YARS1,YARS1
DAL_Brain,Female,ETFA/SCAPER/RCN2,RCN2
DAL_Brain,Female,ETFA/SCAPER/RCN2,ETFA
DAL_Brain,Female,ETFA/SCAPER/RCN2,SCAPER
DAL_Brain,Female,TDRKH/MINDY1,MINDY1
DAL_Brain,Female,MFSD6,MFSD6
DAL_Brain,Female,CD84(ADAMTS4),FCER1G
DAL_Brain,Female,CD84(ADAMTS4),KLHDC9
DAL_Brain,Female,ACSL6,ACSL6
DAL_Brain,Male,PHB1,PHB1
DAL_Brain,Female,USP4/USP19,USP19
DAL_Brain,Female,TOM1L2,TOM1L2
DAL_Brain,Female,TDRKH/MINDY1,TDRKH
DAL_Brain,Female,SFXN4,SFXN4
DAL_Brain,Female,HP,HP
DAL_CSF,Female,TSPAN14/ANXA11,ANXA11
DAL_CSF,Female,ARSA,ARSA
DAL_CSF,Female,CD84(ADAMTS4),CD84
DAL_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),ENO3
DAL_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),RABEP1
DAL_CSF,Female,ETFA/SCAPER/RCN2,ETFA
DAL_CSF,Male,GBA1,GBA1
DAL_CSF,Female,MBL2,MBL2
DAL_CSF,Female,HP,HP
DAL_CSF,Female,NCK1,NCK1
DAL_CSF,Female,RASA4B,RELN
DAL_CSF,Female,USP4/USP19,USP19
DAL_CSF,Female,YARS1,YARS1