g1.name,p1.uniprot_id,p2.uniprot_id,g2.name,g2.druggability_tier
NCK2,O43639,P54762,EPHB1,Tier 1
NCK2,O43639,P29323,EPHB2,Tier 1
NCK2,O43639,P54753,EPHB3,Tier 1
NCK2,O43639,P54760,EPHB4,Tier 1
NCK2,O43639,O15197,EPHB6,Tier 1
NCK2,O43639,Q15303,ERBB4,Tier 1
NCK2,O43639,P35916,FLT4,Tier 1
NCK2,O43639,P06241,FYN,Tier 1
NCK2,O43639,P14210,HGF,Tier 1
NCK2,O43639,P05019,IGF1,Tier 1
NCK2,O43639,P08069,IGF1R,Tier 1
NCK2,O43639,P06213,INSR,Tier 1
NCK2,O43639,P35968,KDR,Tier 1
NCK2,O43639,P06239,LCK,Tier 1
NCK2,O43639,Q15759,MAPK11,Tier 1
NCK2,O43639,P53778,MAPK12,Tier 1
NCK2,O43639,O15264,MAPK13,Tier 1
NCK2,O43639,Q16539,MAPK14,Tier 1
NCK2,O43639,P08581,MET,Tier 1
NCK2,O43639,Q13153,PAK1,Tier 1
NCK2,O43639,Q13177,PAK2,Tier 1
NCK2,O43639,O75914,PAK3,Tier 1
NCK2,O43639,O96013,PAK4,Tier 1
NCK2,O43639,Q9NQU5,PAK6,Tier 1
NCK2,O43639,Q9P286,PAK7,Tier 1
NCK2,O43639,P16234,PDGFRA,Tier 1
NCK2,O43639,P09619,PDGFRB,Tier 1
NCK2,O43639,P17612,PRKACA,Tier 1
NCK2,O43639,Q05397,PTK2,Tier 1
NCK2,O43639,P12931,SRC,Tier 1
NCK2,O43639,P15692,VEGFA,Tier 1
NCK2,O43639,P07947,YES1,Tier 1
NCK2,O43639,P60953,CDC42,Tier 2
NCK2,O43639,P49137,MAPKAPK2,Tier 2
NCK2,O43639,Q16644,MAPKAPK3,Tier 2
NCK2,O43639,P22694,PRKACB,Tier 2
NCK2,O43639,Q15768,EFNB3,Tier 3A
NCK2,O43639,P01308,INS,Tier 3A
NCK2,O43639,Q14114,LRP8,Tier 3A
NCK2,O43639,P01127,PDGFB,Tier 3A
NCK2,O43639,P78509,RELN,Tier 3A
NCK2,O43639,O75093,SLIT1,Tier 3A
NCK2,O43639,O94813,SLIT2,Tier 3A
NCK2,O43639,P98172,EFNB1,Tier 3B
NCK2,O43639,Q13418,ILK,Tier 3B
NCK2,O43639,P22612,PRKACG,Tier 3B
INPP5D,Q92835,P31749,AKT1,Tier 1
INPP5D,Q92835,P11274,BCR,Tier 1
INPP5D,Q92835,Q06187,BTK,Tier 1
INPP5D,Q92835,P40259,CD79B,Tier 1
INPP5D,Q92835,P04141,CSF2,Tier 1
INPP5D,Q92835,P15509,CSF2RA,Tier 1
INPP5D,Q92835,P41240,CSK,Tier 1
INPP5D,Q92835,P31994,FCGR2B,Tier 1
INPP5D,Q92835,P14210,HGF,Tier 1
INPP5D,Q92835,P01112,HRAS,Tier 1
INPP5D,Q92835,P60568,IL2,Tier 1
INPP5D,Q92835,P01589,IL2RA,Tier 1
INPP5D,Q92835,P14784,IL2RB,Tier 1
INPP5D,Q92835,P26951,IL3RA,Tier 1
INPP5D,Q92835,P05112,IL4,Tier 1
INPP5D,Q92835,P24394,IL4R,Tier 1
INPP5D,Q92835,P05113,IL5,Tier 1
INPP5D,Q92835,Q01344,IL5RA,Tier 1
INPP5D,Q92835,P06213,INSR,Tier 1
INPP5D,Q92835,P23458,JAK1,Tier 1
INPP5D,Q92835,O60674,JAK2,Tier 1
INPP5D,Q92835,P52333,JAK3,Tier 1
INPP5D,Q92835,P07948,LYN,Tier 1
INPP5D,Q92835,P08581,MET,Tier 1
INPP5D,Q92835,P42336,PIK3CA,Tier 1
INPP5D,Q92835,P42338,PIK3CB,Tier 1
INPP5D,Q92835,O00329,PIK3CD,Tier 1
INPP5D,Q92835,P48736,PIK3CG,Tier 1
INPP5D,Q92835,P05771,PRKCB,Tier 1
INPP5D,Q92835,P04049,RAF1,Tier 1
INPP5D,Q92835,O00443,PIK3C2A,Tier 2
INPP5D,Q92835,O00750,PIK3C2B,Tier 2
INPP5D,Q92835,O75747,PIK3C2G,Tier 2
INPP5D,Q92835,P27986,PIK3R1,Tier 2
INPP5D,Q92835,Q06124,PTPN11,Tier 2
INPP5D,Q92835,Q8TDQ1,CD300LF,Tier 3A
INPP5D,Q92835,P32927,CSF2RB,Tier 3A
INPP5D,Q92835,P12319,FCER1A,Tier 3A
INPP5D,Q92835,P08700,IL3,Tier 3A
INPP5D,Q92835,P01308,INS,Tier 3A
INPP5D,Q92835,P11912,CD79A,Tier 3B
INPP5D,Q92835,P31785,IL2RG,Tier 3B
HLA-DRB1,P01911,Q9NZQ7,CD274,Tier 1
HLA-DRB1,P01911,P10747,CD28,Tier 1
HLA-DRB1,P01911,P07766,CD3E,Tier 1
HLA-DRB1,P01911,P01730,CD4,Tier 1
HLA-DRB1,P01911,P16070,CD44,Tier 1
HLA-DRB1,P01911,P04233,CD74,Tier 1
HLA-DRB1,P01911,P33681,CD80,Tier 1
HLA-DRB1,P01911,P42081,CD86,Tier 1
HLA-DRB1,P01911,P41240,CSK,Tier 1
HLA-DRB1,P01911,P07858,CTSB,Tier 1
HLA-DRB1,P01911,P07339,CTSD,Tier 1
HLA-DRB1,P01911,P14091,CTSE,Tier 1
HLA-DRB1,P01911,P43235,CTSK,Tier 1
HLA-DRB1,P01911,P07711,CTSL,Tier 1
HLA-DRB1,P01911,P25774,CTSS,Tier 1
HLA-DRB1,P01911,O60911,CTSV,Tier 1
HLA-DRB1,P01911,P12314,FCGR1A,Tier 1
HLA-DRB1,P01911,P06241,FYN,Tier 1
HLA-DRB1,P01911,P04439,HLA-A,Tier 1
HLA-DRB1,P01911,P01903,HLA-DRA,Tier 1
HLA-DRB1,P01911,Q30154,HLA-DRB5,Tier 1
HLA-DRB1,P01911,P05362,ICAM1,Tier 1
HLA-DRB1,P01911,Q08881,ITK,Tier 1
HLA-DRB1,P01911,P52732,KIF11,Tier 1
HLA-DRB1,P01911,P06239,LCK,Tier 1
HLA-DRB1,P01911,Q92918,MAP4K1,Tier 1
HLA-DRB1,P01911,P13591,NCAM1,Tier 1
HLA-DRB1,P01911,Q15116,PDCD1,Tier 1
HLA-DRB1,P01911,Q9BQ51,PDCD1LG2,Tier 1
HLA-DRB1,P01911,P42336,PIK3CA,Tier 1
HLA-DRB1,P01911,P40967,PMEL,Tier 1
HLA-DRB1,P01911,Q04759,PRKCQ,Tier 1
HLA-DRB1,P01911,P25105,PTAFR,Tier 1
HLA-DRB1,P01911,P08575,PTPRC,Tier 1
HLA-DRB1,P01911,O00220,TNFRSF10A,Tier 1
HLA-DRB1,P01911,P43403,ZAP70,Tier 1
HLA-DRB1,P01911,P10619,CTSA,Tier 2
HLA-DRB1,P01911,P53634,CTSC,Tier 2
HLA-DRB1,P01911,Q9UBX1,CTSF,Tier 2
HLA-DRB1,P01911,P09668,CTSH,Tier 2
HLA-DRB1,P01911,Q06124,PTPN11,Tier 2
HLA-DRB1,P01911,Q9Y2R2,PTPN22,Tier 2
HLA-DRB1,P01911,P42226,STAT6,Tier 2
HLA-DRB1,P01911,P19320,VCAM1,Tier 2
HLA-DRB1,P01911,P52907,CAPZA1,Tier 3A
HLA-DRB1,P01911,P47755,CAPZA2,Tier 3A
HLA-DRB1,P01911,P20963,CD247,Tier 3A
HLA-DRB1,P01911,P01889,HLA-B,Tier 3A
HLA-DRB1,P01911,P10321,HLA-C,Tier 3A
HLA-DRB1,P01911,P13765,HLA-DOB,Tier 3A
HLA-DRB1,P01911,P20036,HLA-DPA1,Tier 3A
HLA-DRB1,P01911,P04440,HLA-DPB1,Tier 3A
HLA-DRB1,P01911,P01906,HLA-DQA2,Tier 3A
HLA-DRB1,P01911,P17693,HLA-G,Tier 3A
HLA-DRB1,P01911,P13284,IFI30,Tier 3A
HLA-DRB1,P01911,P01308,INS,Tier 3A
HLA-DRB1,P01911,P00973,OAS1,Tier 3A
HLA-DRB1,P01911,Q12913,PTPRJ,Tier 3A
HLA-DRB1,P01911,Q93038,TNFRSF25,Tier 3A
HLA-DRB1,P01911,P61769,B2M,Tier 3B
HLA-DRB1,P01911,P04234,CD3D,Tier 3B
HLA-DRB1,P01911,P09693,CD3G,Tier 3B
HLA-DRB1,P01911,P18627,LAG3,Tier 3B
HLA-DRB1,P01911,Q99538,LGMN,Tier 3B
TREM2,Q9NZC2,Q06187,BTK,Tier 1
TREM2,Q9NZC2,P20138,CD33,Tier 1
TREM2,Q9NZC2,P07333,CSF1R,Tier 1
TREM2,Q9NZC2,P06241,FYN,Tier 1
TREM2,Q9NZC2,P06239,LCK,Tier 1
TREM2,Q9NZC2,P42336,PIK3CA,Tier 1
TREM2,Q9NZC2,P42338,PIK3CB,Tier 1
TREM2,Q9NZC2,P49768,PSEN1,Tier 1
TREM2,Q9NZC2,P43405,SYK,Tier 1
TREM2,Q9NZC2,P27986,PIK3R1,Tier 2
TREM2,Q9NZC2,P16885,PLCG2,Tier 2
TREM2,Q9NZC2,O00206,TLR4,Tier 2
TREM2,Q9NZC2,P02649,APOE,Tier 3A
TREM2,Q9NZC2,P26717,KLRC2,Tier 3A
TREM2,Q9NZC2,P78324,SIRPA,Tier 3A
TREM2,Q9NZC2,Q9P1W8,SIRPG,Tier 3A
TREM2,Q9NZC2,Q9NP99,TREM1,Tier 3A
TREM2,Q9NZC2,P61769,B2M,Tier 3B
TREM2,Q9NZC2,P02745,C1QA,Tier 3B
TREM2,Q9NZC2,P02746,C1QB,Tier 3B
TREM2,Q9NZC2,P02747,C1QC,Tier 3B
TREM2,Q9NZC2,Q13241,KLRD1,Tier 3B
TREM1,Q9NP99,P21462,FPR1,Tier 2
TREM1,Q9NP99,O00206,TLR4,Tier 2
TREM1,Q9NP99,O60603,TLR2,Tier 3B
EGFR,P00533,Q2M2I8,AAK1,Tier 1
EGFR,P00533,P08183,ABCB1,Tier 1
EGFR,P00533,P78536,ADAM17,Tier 1
EGFR,P00533,P07550,ADRB2,Tier 1
EGFR,P00533,P25098,ADRBK1,Tier 1
EGFR,P00533,P30556,AGTR1,Tier 1
EGFR,P00533,Q15389,ANGPT1,Tier 1
EGFR,P00533,O15123,ANGPT2,Tier 1
EGFR,P00533,P04114,APOB,Tier 1
EGFR,P00533,P05067,APP,Tier 1
EGFR,P00533,P10275,AR,Tier 1
EGFR,P00533,P30518,AVPR2,Tier 1
EGFR,P00533,P51451,BLK,Tier 1
EGFR,P00533,Q16790,CA9,Tier 1
EGFR,P00533,Q14790,CASP8,Tier 1
EGFR,P00533,P14635,CCNB1,Tier 1
EGFR,P00533,P24385,CCND1,Tier 1
EGFR,P00533,Q9NZQ7,CD274,Tier 1
EGFR,P00533,P01730,CD4,Tier 1
EGFR,P00533,P16070,CD44,Tier 1
EGFR,P00533,P19022,CDH2,Tier 1
EGFR,P00533,P13569,CFTR,Tier 1
EGFR,P00533,P08172,CHRM2,Tier 1
EGFR,P00533,P09603,CSF1,Tier 1
EGFR,P00533,P04141,CSF2,Tier 1
EGFR,P00533,P41240,CSK,Tier 1
EGFR,P00533,P29279,CTGF,Tier 1
EGFR,P00533,P61073,CXCR4,Tier 1
EGFR,P00533,P25101,EDNRA,Tier 1
EGFR,P00533,P04626,ERBB2,Tier 1
EGFR,P00533,P21860,ERBB3,Tier 1
EGFR,P00533,Q15303,ERBB4,Tier 1
EGFR,P00533,O14944,EREG,Tier 1
EGFR,P00533,P03372,ESR1,Tier 1
EGFR,P00533,Q92731,ESR2,Tier 1
EGFR,P00533,P05230,FGF1,Tier 1
EGFR,P00533,O76093,FGF18,Tier 1
EGFR,P00533,P09038,FGF2,Tier 1
EGFR,P00533,P08620,FGF4,Tier 1
EGFR,P00533,P09769,FGR,Tier 1
EGFR,P00533,Q04609,FOLH1,Tier 1
EGFR,P00533,P06241,FYN,Tier 1
EGFR,P00533,O14976,GAK,Tier 1
EGFR,P00533,Q14956,GPNMB,Tier 1
EGFR,P00533,Q99075,HBEGF,Tier 1
EGFR,P00533,P08631,HCK,Tier 1
EGFR,P00533,P14210,HGF,Tier 1
EGFR,P00533,Q16665,HIF1A,Tier 1
EGFR,P00533,P01112,HRAS,Tier 1
EGFR,P00533,P07900,HSP90AA1,Tier 1
EGFR,P00533,P08238,HSP90AB1,Tier 1
EGFR,P00533,P04792,HSPB1,Tier 1
EGFR,P00533,P01562,IFNA1,Tier 1
EGFR,P00533,P01563,IFNA2,Tier 1
EGFR,P00533,P01579,IFNG,Tier 1
EGFR,P00533,P05019,IGF1,Tier 1
EGFR,P00533,P01344,IGF2,Tier 1
EGFR,P00533,P22301,IL10,Tier 1
EGFR,P00533,P35225,IL13,Tier 1
EGFR,P00533,P40933,IL15,Tier 1
EGFR,P00533,P60568,IL2,Tier 1
EGFR,P00533,P05112,IL4,Tier 1
EGFR,P00533,P05113,IL5,Tier 1
EGFR,P00533,P05231,IL6,Tier 1
EGFR,P00533,P10145,IL8,Tier 1
EGFR,P00533,P05556,ITGB1,Tier 1
EGFR,P00533,P23458,JAK1,Tier 1
EGFR,P00533,O60674,JAK2,Tier 1
EGFR,P00533,P52333,JAK3,Tier 1
EGFR,P00533,P25391,LAMA1,Tier 1
EGFR,P00533,P07942,LAMB1,Tier 1
EGFR,P00533,Q13753,LAMC2,Tier 1
EGFR,P00533,P06239,LCK,Tier 1
EGFR,P00533,Q96FE5,LINGO1,Tier 1
EGFR,P00533,Q92633,LPAR1,Tier 1
EGFR,P00533,Q9HBW0,LPAR2,Tier 1
EGFR,P00533,Q5S007,LRRK2,Tier 1
EGFR,P00533,P07948,LYN,Tier 1
EGFR,P00533,P28482,MAPK1,Tier 1
EGFR,P00533,Q16539,MAPK14,Tier 1
EGFR,P00533,P27361,MAPK3,Tier 1
EGFR,P00533,P42679,MATK,Tier 1
EGFR,P00533,Q00987,MDM2,Tier 1
EGFR,P00533,P08581,MET,Tier 1
EGFR,P00533,P50281,MMP14,Tier 1
EGFR,P00533,P08254,MMP3,Tier 1
EGFR,P00533,P09237,MMP7,Tier 1
EGFR,P00533,P14780,MMP9,Tier 1
EGFR,P00533,P42345,MTOR,Tier 1
EGFR,P00533,P15941,MUC1,Tier 1
EGFR,P00533,P13591,NCAM1,Tier 1
EGFR,P00533,P01138,NGF,Tier 1
EGFR,P00533,P40261,NNMT,Tier 1
EGFR,P00533,P46531,NOTCH1,Tier 1
EGFR,P00533,Q8NBP7,PCSK9,Tier 1
EGFR,P00533,P16234,PDGFRA,Tier 1
EGFR,P00533,P09619,PDGFRB,Tier 1
EGFR,P00533,P49763,PGF,Tier 1
EGFR,P00533,P06401,PGR,Tier 1
EGFR,P00533,P42336,PIK3CA,Tier 1
EGFR,P00533,P42338,PIK3CB,Tier 1
EGFR,P00533,O00329,PIK3CD,Tier 1
EGFR,P00533,P14618,PKM,Tier 1
EGFR,P00533,P37231,PPARG,Tier 1
EGFR,P00533,P17252,PRKCA,Tier 1
EGFR,P00533,P05771,PRKCB,Tier 1
EGFR,P00533,P35354,PTGS2,Tier 1
EGFR,P00533,Q05397,PTK2,Tier 1
EGFR,P00533,Q14289,PTK2B,Tier 1
EGFR,P00533,Q13882,PTK6,Tier 1
EGFR,P00533,P18827,SDC1,Tier 1
EGFR,P00533,P13866,SLC5A1,Tier 1
EGFR,P00533,P19634,SLC9A1,Tier 1
EGFR,P00533,P12931,SRC,Tier 1
EGFR,P00533,P40763,STAT3,Tier 1
EGFR,P00533,P25103,TACR1,Tier 1
EGFR,P00533,P02786,TFRC,Tier 1
EGFR,P00533,P01135,TGFA,Tier 1
EGFR,P00533,P01375,TNF,Tier 1
EGFR,P00533,P04637,TP53,Tier 1
EGFR,P00533,Q8NER1,TRPV1,Tier 1
EGFR,P00533,Q99816,TSG101,Tier 1
EGFR,P00533,P29597,TYK2,Tier 1
EGFR,P00533,P63027,VAMP2,Tier 1
EGFR,P00533,P15692,VEGFA,Tier 1
EGFR,P00533,P49765,VEGFB,Tier 1
EGFR,P00533,P07947,YES1,Tier 1
EGFR,P00533,P02768,ALB,Tier 2
EGFR,P00533,P15514,AREG,Tier 2
EGFR,P00533,P15514,AREGB,Tier 2
EGFR,P00533,P12644,BMP4,Tier 2
EGFR,P00533,P38398,BRCA1,Tier 2
EGFR,P00533,P42574,CASP3,Tier 2
EGFR,P00533,P30304,CDC25A,Tier 2
EGFR,P00533,P60953,CDC42,Tier 2
EGFR,P00533,P35222,CTNNB1,Tier 2
EGFR,P00533,P01100,FOS,Tier 2
EGFR,P00533,P04406,GAPDH,Tier 2
EGFR,P00533,P17936,IGFBP3,Tier 2
EGFR,P00533,P05412,JUN,Tier 2
EGFR,P00533,P01130,LDLR,Tier 2
EGFR,P00533,Q9UBY5,LPAR3,Tier 2
EGFR,P00533,O00443,PIK3C2A,Tier 2
EGFR,P00533,P27986,PIK3R1,Tier 2
EGFR,P00533,P00749,PLAU,Tier 2
EGFR,P00533,Q03405,PLAUR,Tier 2
EGFR,P00533,P16885,PLCG2,Tier 2
EGFR,P00533,O14939,PLD2,Tier 2
EGFR,P00533,P18031,PTPN1,Tier 2
EGFR,P00533,Q06124,PTPN11,Tier 2
EGFR,P00533,Q05209,PTPN12,Tier 2
EGFR,P00533,P17706,PTPN2,Tier 2
EGFR,P00533,P05121,SERPINE1,Tier 2
EGFR,P00533,Q16572,SLC18A3,Tier 2
EGFR,P00533,P42224,STAT1,Tier 2
EGFR,P00533,P42229,STAT5A,Tier 2
EGFR,P00533,P51692,STAT5B,Tier 2
EGFR,P00533,O00206,TLR4,Tier 2
EGFR,P00533,P04083,ANXA1,Tier 3A
EGFR,P00533,P23560,BDNF,Tier 3A
EGFR,P00533,P27701,CD82,Tier 3A
EGFR,P00533,P12830,CDH1,Tier 3A
EGFR,P00533,P26441,CNTF,Tier 3A
EGFR,P00533,P09919,CSF3,Tier 3A
EGFR,P00533,P48061,CXCL12,Tier 3A
EGFR,P00533,Q12805,EFEMP1,Tier 3A
EGFR,P00533,P20827,EFNA1,Tier 3A
EGFR,P00533,P52803,EFNA5,Tier 3A
EGFR,P00533,P01133,EGF,Tier 3A
EGFR,P00533,Q6UW88,EPGN,Tier 3A
EGFR,P00533,P01588,EPO,Tier 3A
EGFR,P00533,O15520,FGF10,Tier 3A
EGFR,P00533,O60258,FGF17,Tier 3A
EGFR,P00533,Q9NSA1,FGF21,Tier 3A
EGFR,P00533,P11487,FGF3,Tier 3A
EGFR,P00533,P12034,FGF5,Tier 3A
EGFR,P00533,P21781,FGF7,Tier 3A
EGFR,P00533,P31371,FGF9,Tier 3A
EGFR,P00533,P11717,IGF2R,Tier 3A
EGFR,P00533,P20809,IL11,Tier 3A
EGFR,P00533,P08700,IL3,Tier 3A
EGFR,P00533,P16871,IL7R,Tier 3A
EGFR,P00533,P01308,INS,Tier 3A
EGFR,P00533,P56199,ITGA1,Tier 3A
EGFR,P00533,P23229,ITGA6,Tier 3A
EGFR,P00533,P78504,JAG1,Tier 3A
EGFR,P00533,P21583,KITLG,Tier 3A
EGFR,P00533,P17931,LGALS3,Tier 3A
EGFR,P00533,P15018,LIF,Tier 3A
EGFR,P00533,P20645,M6PR,Tier 3A
EGFR,P00533,Q02297,NRG1,Tier 3A
EGFR,P00533,P56975,NRG3,Tier 3A
EGFR,P00533,Q8WWG1,NRG4,Tier 3A
EGFR,P00533,P01127,PDGFB,Tier 3A
EGFR,P00533,Q9NRA1,PDGFC,Tier 3A
EGFR,P00533,Q9GZP0,PDGFD,Tier 3A
EGFR,P00533,P01236,PRL,Tier 3A
EGFR,P00533,P23470,PTPRG,Tier 3A
EGFR,P00533,Q12913,PTPRJ,Tier 3A
EGFR,P00533,P02787,TF,Tier 3A
EGFR,P00533,P04155,TFF1,Tier 3A
EGFR,P00533,Q03403,TFF2,Tier 3A
EGFR,P00533,Q07654,TFF3,Tier 3A
EGFR,P00533,P41221,WNT5A,Tier 3A
EGFR,P00533,P07355,ANXA2,Tier 3B
EGFR,P00533,P01185,AVP,Tier 3B
EGFR,P00533,P35070,BTC,Tier 3B
EGFR,P00533,O43852,CALU,Tier 3B
EGFR,P00533,P04234,CD3D,Tier 3B
EGFR,P00533,P09693,CD3G,Tier 3B
EGFR,P00533,P33151,CDH5,Tier 3B
EGFR,P00533,P07585,DCN,Tier 3B
EGFR,P00533,P05305,EDN1,Tier 3B
EGFR,P00533,P52798,EFNA4,Tier 3B
EGFR,P00533,Q96RT1,ERBB2IP,Tier 3B
EGFR,P00533,O95750,FGF19,Tier 3B
EGFR,P00533,Q9NP95,FGF20,Tier 3B
EGFR,P00533,Q9HCT0,FGF22,Tier 3B
EGFR,P00533,P10767,FGF6,Tier 3B
EGFR,P00533,P55075,FGF8,Tier 3B
EGFR,P00533,O43915,FIGF,Tier 3B
EGFR,P00533,Q9ULV1,FZD4,Tier 3B
EGFR,P00533,P26006,ITGA3,Tier 3B
EGFR,P00533,P16144,ITGB4,Tier 3B
EGFR,P00533,Q9Y6Y0,IVNS1ABP,Tier 3B
EGFR,P00533,P32004,L1CAM,Tier 3B
EGFR,P00533,P41159,LEP,Tier 3B
EGFR,P00533,P28300,LOX,Tier 3B
EGFR,P00533,Q6UXM1,LRIG3,Tier 3B
EGFR,P00533,Q9UM47,NOTCH3,Tier 3B
EGFR,P00533,O14511,NRG2,Tier 3B
EGFR,P00533,P20783,NTF3,Tier 3B
EGFR,P00533,P13725,OSM,Tier 3B
EGFR,P00533,P04085,PDGFA,Tier 3B
EGFR,P00533,P51809,VAMP7,Tier 3B
EGFR,P00533,Q9BV40,VAMP8,Tier 3B
EGFR,P00533,P49767,VEGFC,Tier 3B
EGFR,P00533,P04628,WNT1,Tier 3B
CLU,P10909,P04114,APOB,Tier 1
CLU,P10909,P05067,APP,Tier 1
CLU,P10909,P01031,C5,Tier 1
CLU,P10909,P11597,CETP,Tier 1
CLU,P10909,P00746,CFD,Tier 1
CLU,P10909,P12259,F5,Tier 1
CLU,P10909,P00451,F8,Tier 1
CLU,P10909,P02671,FGA,Tier 1
CLU,P10909,P02675,FGB,Tier 1
CLU,P10909,P02679,FGG,Tier 1
CLU,P10909,P14210,HGF,Tier 1
CLU,P10909,P05019,IGF1,Tier 1
CLU,P10909,P01344,IGF2,Tier 1
CLU,P10909,P14780,MMP9,Tier 1
CLU,P10909,Q13093,PLA2G7,Tier 1
CLU,P10909,P00747,PLG,Tier 1
CLU,P10909,P27169,PON1,Tier 1
CLU,P10909,P01137,TGFB1,Tier 1
CLU,P10909,P61812,TGFB2,Tier 1
CLU,P10909,P10600,TGFB3,Tier 1
CLU,P10909,P02766,TTR,Tier 1
CLU,P10909,P15692,VEGFA,Tier 1
CLU,P10909,P49765,VEGFB,Tier 1
CLU,P10909,P04275,VWF,Tier 1
CLU,P10909,Q8IZY2,ABCA7,Tier 2
CLU,P10909,P02768,ALB,Tier 2
CLU,P10909,P00488,F13A1,Tier 2
CLU,P10909,P01130,LDLR,Tier 2
CLU,P10909,P05121,SERPINE1,Tier 2
CLU,P10909,P12814,ACTN1,Tier 3A
CLU,P10909,P02647,APOA1,Tier 3A
